10000	10000	10000	427	668	495	377	678	10000	177	10000	10000	870	10000	869	624	300	609	131	10000	251	10000	10000	10000	856	221	514	10000	591	762	182	56	10000	884	412	273	636	10000	10000	774
10000	10000	262	10000	10000	508	472	799	10000	956	578	363	940	143	10000	162	122	910	10000	729	802	941	922	573	531	539	667	607	10000	920	10000	10000	315	649	937	10000	185	102	636	289
10000	262	10000	10000	926	10000	958	158	647	47	621	264	81	10000	402	813	649	386	252	391	264	637	349	10000	10000	10000	108	10000	727	225	578	699	10000	898	294	10000	575	168	432	833
427	10000	10000	10000	366	10000	10000	635	10000	32	962	468	893	854	718	427	448	916	258	10000	760	909	529	311	404	10000	10000	588	680	875	10000	615	10000	409	758	221	10000	10000	76	257
668	10000	926	366	10000	10000	10000	250	268	10000	503	944	10000	677	10000	727	793	457	981	191	10000	10000	10000	351	969	925	987	328	282	589	10000	873	477	10000	10000	19	450	10000	10000	10000
495	508	10000	10000	10000	10000	10000	765	711	819	305	302	926	10000	10000	582	10000	861	10000	683	293	10000	10000	66	10000	27	10000	10000	290	10000	786	10000	554	817	33	10000	54	506	386	381
377	472	958	10000	10000	10000	10000	10000	10000	120	42	10000	134	219	457	639	538	374	10000	10000	10000	966	10000	10000	10000	10000	10000	449	120	797	358	232	550	10000	305	997	662	744	686	239
678	799	158	635	250	765	10000	10000	10000	35	10000	106	385	652	160	10000	890	812	605	953	10000	10000	10000	79	10000	712	613	312	452	10000	978	900	10000	901	10000	10000	225	533	770	722
10000	10000	647	10000	268	711	10000	10000	10000	283	10000	172	10000	663	236	36	403	286	986	10000	10000	810	761	574	53	793	10000	10000	777	330	936	883	286	10000	174	10000	10000	10000	828	711
177	956	47	32	10000	819	120	35	283	10000	50	10000	565	36	767	684	344	489	565	10000	10000	103	810	463	733	665	494	644	863	25	385	10000	342	470	10000	10000	10000	730	582	468
10000	578	621	962	503	305	42	10000	10000	50	10000	155	519	10000	10000	256	990	801	154	53	474	650	402	10000	10000	10000	966	10000	10000	406	989	772	932	7	10000	823	391	10000	10000	933
10000	363	264	468	944	302	10000	106	172	10000	155	10000	10000	10000	380	438	10000	41	266	10000	10000	104	867	609	10000	270	861	10000	10000	165	10000	675	250	686	995	366	191	10000	433	10000
870	940	81	893	10000	926	134	385	10000	565	519	10000	10000	313	851	10000	10000	10000	248	220	10000	826	359	829	10000	234	198	145	409	68	359	10000	814	218	186	10000	10000	929	203	10000
10000	143	10000	854	677	10000	219	652	663	36	10000	10000	313	10000	132	10000	433	598	10000	10000	168	870	10000	10000	10000	128	437	10000	383	364	966	227	10000	10000	807	993	10000	10000	526	17
869	10000	402	718	10000	10000	457	160	236	767	10000	380	851	132	10000	10000	596	903	613	730	10000	261	10000	142	379	885	89	10000	848	258	112	10000	900	10000	10000	818	639	268	600	10000
624	162	813	427	727	582	639	10000	36	684	256	438	10000	10000	10000	10000	539	379	664	561	542	10000	999	585	10000	10000	321	398	10000	10000	950	68	193	10000	697	10000	390	588	848	10000
300	122	649	448	793	10000	538	890	403	344	990	10000	10000	433	596	539	10000	10000	73	10000	318	10000	10000	500	10000	968	10000	291	10000	10000	765	196	504	757	10000	542	10000	395	227	148
609	910	386	916	457	861	374	812	286	489	801	41	10000	598	903	379	10000	10000	10000	946	136	399	10000	941	707	156	757	258	251	10000	807	10000	10000	10000	461	501	10000	10000	616	10000
131	10000	252	258	981	10000	10000	605	986	565	154	266	248	10000	613	664	73	10000	10000	686	10000	10000	575	627	817	282	10000	698	398	222	10000	649	10000	10000	10000	10000	10000	654	10000	10000
10000	729	391	10000	191	683	10000	953	10000	10000	53	10000	220	10000	730	561	10000	946	686	10000	10000	389	729	553	304	703	455	857	260	10000	991	182	351	477	867	10000	10000	889	217	853
251	802	264	760	10000	293	10000	10000	10000	10000	474	10000	10000	168	10000	542	318	136	10000	10000	10000	10000	392	10000	10000	10000	267	407	27	651	80	927	10000	974	977	10000	10000	457	117	10000
10000	941	637	909	10000	10000	966	10000	810	103	650	104	826	870	261	10000	10000	399	10000	389	10000	10000	10000	202	10000	10000	10000	10000	867	140	403	962	785	10000	511	10000	1	10000	707	10000
10000	922	349	529	10000	10000	10000	10000	761	810	402	867	359	10000	10000	999	10000	10000	575	729	392	10000	10000	388	939	10000	959	10000	83	463	361	10000	10000	512	931	10000	224	690	369	10000
10000	573	10000	311	351	66	10000	79	574	463	10000	609	829	10000	142	585	500	941	627	553	10000	202	388	10000	164	829	10000	620	523	639	936	10000	10000	490	10000	695	10000	505	109	10000
856	531	10000	404	969	10000	10000	10000	53	733	10000	10000	10000	10000	379	10000	10000	707	817	304	10000	10000	939	164	10000	10000	616	716	728	10000	889	349	10000	963	150	447	10000	292	586	264
221	539	10000	10000	925	27	10000	712	793	665	10000	270	234	128	885	10000	968	156	282	703	10000	10000	10000	829	10000	10000	10000	822	10000	10000	10000	736	576	10000	697	946	443	10000	205	194
514	667	108	10000	987	10000	10000	613	10000	494	966	861	198	437	89	321	10000	757	10000	455	267	10000	959	10000	616	10000	10000	10000	349	156	339	10000	102	790	359	10000	439	938	809	260
10000	607	10000	588	328	10000	449	312	10000	644	10000	10000	145	10000	10000	398	291	258	698	857	407	10000	10000	620	716	822	10000	10000	293	486	943	10000	779	10000	6	880	116	775	10000	947
591	10000	727	680	282	290	120	452	777	863	10000	10000	409	383	848	10000	10000	251	398	260	27	867	83	523	728	10000	349	293	10000	212	684	505	341	384	9	992	507	48	10000	10000
762	920	225	875	589	10000	797	10000	330	25	406	165	68	364	258	10000	10000	10000	222	10000	651	140	463	639	10000	10000	156	486	212	10000	10000	349	723	10000	10000	186	10000	36	240	752
